nombre,municipio,tipo,superficie_ha,categoria,Horarios_de_visita,Costo_de_ingreso,Fuente
Puerto de Mar del Plata,GENERAL PUEYRREDON,"Reserva Natural Provincial de Objetivos Definidos Mixtos Botánico, Faunístico y Educativo.",87.0,reserva-natural-objetivo-definido,Todos los días 10:00–18:00,Gratuito,Ministerio de Ambiente PBA
Laguna de los Padres,GENERAL PUEYRREDON,Reserva municipal de objetivo definido educativo,665.0,reserva-natural-objetivo-definido,Todos los días 08:00–20:00,Gratuito,MGP / La Capital MdP
Bahia de  Samborombón (Sitio RAMSAR),MAGDALENA-PUNTA INDIO-CHASCOMÚS-CASTELLI-DOLORES-TORDILLO-GENERAL LAVALLE Y LA COSTA,Reserva natural de objetivos definidos,18840.0,reserva-natural-objetivo-definido,No abierta al público (área natural amplia sin horario),No corresponde,OPDS – Listado oficial
Rincón de Ajó,"TORDILLO,GENERAL LAVALLE Y LA COSTA",Reserva natural de objetivos definidos,12590.0,reserva-natural-objetivo-definido,No abierta al público (reserva estricta sin visitas),No corresponde,Min. Ambiente PBA
Laguna Chasicó,VILLARINO - PUAN,Reserva Natural Provincial de Objetivos Definidos Mixtos,7800.0,reserva-natural-objetivo-definido,No abierta al público (acceso libre para pesca deportiva),Gratuito (con licencia de pesca),OPDS – Listado oficial
Otamendi,CAMPANA,"Sitio Ramsar. Reserva natural estricta, reserva natural silvestre y reserva natural educativa",3000.0,reserva-natural-objetivo-definido,Todos los días 09:00–18:00 (ingreso diurno),Gratuito,La Nación
Parque nacional Campos del Tuyú,GENERAL LAVALLE,Reserva  natural estricta,3040.0,reserva-natural-objetivo-definido,No abierta al público aún,No corresponde,Argentina.gob.ar
Costera Bahia Blanca,BAHIA BLANCA,Reserva municipal de objetivo educativo,319.0,reserva-natural-objetivo-definido,Sin horarios fijos (visitas guiadas ocasionales),Gratuito,Aves Argentinas (consulta turismo)
Paraná Guazú,BARADERO,Reserva natural  de objetivo educativo/ reserva municipal,,reserva-natural-objetivo-definido,No abierta al público (islas del delta sin acceso turístico),No corresponde,OPDS – Listado oficial
Guardia del Juncal,CAÑUELAS,Reserva natural municipal de objetivo educativo,129.0,reserva-natural-objetivo-definido,No abierta al público (reserva educativa cerrada),No corresponde,–
Pehuencó- Monte Hermoso,CNEL ROSALES Y MONTE HERMOSO,"Reserva natural arqueológica, geológica, paleontológica y de objetivo definido",2542.0,reserva-natural-objetivo-definido,"Visitas solo con guía especializada, según mareas (coordinar con Museo en Monte Hermoso)",ARS 4.000 adultos / ARS 3.000 menores (visita guiada),Municipio de Monte Hermoso; Infocielo
Ingeniero Maschwitz,ESCOBAR,Reserva Natural Educativa,23.0,reserva-natural-objetivo-definido,Miércoles a domingos 09:00–17:00 (cerrado lluvia),Gratuito,Reserva Maschwitz (Escobar)
Restringa del Faro,GENERAL PUEYRREDON,Reserva natural de objetivo geológico y faunístico,706.0,reserva-natural-objetivo-definido,"Sin horarios (acceso libre a la costa, sin servicios)",Gratuito,–
Costanera sur,GENERAL PUEYRREDÓN,Reserva turística y  forestal,800.0,reserva-natural-objetivo-definido,,,
